Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source,Email
Roofing contractor,,Harry's Construction Inc.,(978) 719-1053,,harrysconstructionma.com,,13,4.7,,,,,,contact@harrysconstructionma.com,,,https://www.instagram.com/harrysconstruction/,https://www.facebook.com/harrysconstructioninc,,"561 Boston Post Rd E Suite 2, Marlborough, MA 01752",Marlborough,MIDDLESEX,MA,,"8FXV+53 Marlborough, Massachusetts",Google Maps
Marble & Granite,Portuguese,5 Star Granite Inc,,,,,,,Lucas,Lopes,,,,info@5stargranite.com,,,https://www.thumbtack.com/websites/services/379528729807216648/instagram/redirect,https://www.thumbtack.com/websites/services/379528729807216648/facebook/redirect,,02556,North Falmouth,BARNSTABLE,MA,,,Thumbtack
Roofing contractor,English,"LaBelle Roofing, Inc",(978) 297-4400,,labelleroofing.com,,,,ROBERT,LABELLE,,,,Rob@LaBelleRoofing.com,,,,https://www.facebook.com/LaBelleRoofing/,,"3 Central St, Winchendon, MA 01475",Winchendon,WORCESTER,MA,,"MXJ2+9J Winchendon, Massachusetts",Google Maps
Gutter service,,Neathawk Seamless Gutters,(413) 281-2340,,neathawkseamlessgutters.com,,3,5.0,,,,,,neathawkgutters@gmail.com,,,,https://www.facebook.com/NeathawkSeamlessGutters,,"610 N Hoosac Rd, Williamstown, MA 01267",Williamstown,BERKSHIRE,MA,,"PR96+FV Williamstown, Massachusetts",Google Maps
Roofing contractor,,"Reliable Roofing, Siding & Windows",(781) 746-7333,,reliablewindowandsiding.net,,154,4.7,,,,,,sales@reliablewindow.net,,,,https://www.facebook.com/ReliableWindowSiding,https://www.linkedin.com/company/reliable-roofing-siding-and-windows,"194 Tosca Dr, Stoughton, MA 02072",Stoughton,NORFOLK,MA,,"4VPG+C4 Stoughton, Massachusetts",Google Maps
Roofing contractor,,Coelho Construction LLC,(508) 828-9741,,hibustudio.com,,,1.0,,,,,,,,,,https://www.facebook.com/Coelho-Construction-LLC-1116735338359126/,,"4 Morris Hope Ln, Berkley, MA 02779",Berkley,BRISTOL,MA,,"RWJJ+76 Berkley, Massachusetts",Google Maps
Construction company,,SFB Construction,(413) 458-4649,,sfbconstructionllc.com,,48,5.0,,,,,,SFBConstruction@gmail.com,,,,https://m.facebook.com/SFB-Construction-226520190709098/,,"165 Cold Spring Rd, Williamstown, MA 02167",,,,,"PQ6J+GX Williamstown, Massachusetts",Google Maps
Roofing Contractor,Portuguese,Coastal Roofing & Siding,,,,,,,Lucas,Coelho,,,,,,,https://www.instagram.com/coastalroofingsiding/,https://www.facebook.com/coastalroofingsiding,,02532,Buzzards Bay,BARNSTABLE,MA,,,Thumbtack
Roofing Contractor,Spanish,Water Tight,,,,,,,Jorge,Romero,,,,,,,https://www.thumbtack.com/websites/services/270680200105657404/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,,02532,Buzzards Bay,BARNSTABLE,MA,,,Thumbtack
Roofing Contractor,Spanish,Water Tight,,,,,,,Jorge,Romero,,,,,,,https://www.thumbtack.com/websites/services/270680200105657404/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,,02532,Buzzards Bay,BARNSTABLE,MA,,,Thumbtack
