name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Dupee Flooring,5.0,5,Flooring contractor,"33 Orchard Hill Dr, North Adams, MA 01247",N/A,N/A,dupeeflooring.com,"MWR9+P7 North Adams, Massachusetts",(413) 663-8936
Gale Floor Covering,1.0,N/A,Flooring contractor,"28 E View Dr, Cheshire, MA 01225",N/A,N/A,galefloorcovering.com,"HVP4+82 Cheshire, Massachusetts",(413) 884-2578
Berkshire Carpet Inc,N/A,N/A,Flooring store,"441 Curran Hwy, North Adams, MA 01247",N/A,N/A,N/A,"MVQQ+CG North Adams, Massachusetts",(413) 663-7649
The Home Depot,4.0,2007,Home improvement store,"5 Allstate Rd, Boston, MA 02125",Located in: South Bay Center,Closed ⋅ Opens 6AMSee more hours,homedepot.com,"8WHP+5H Boston, Massachusetts",(617) 442-6110
Buddy Flooring,N/A,N/A,Flooring store,"581 Lincoln Ave, Saugus, MA 01906",N/A,N/A,N/A,"CXWQ+65 Saugus, Massachusetts",(617) 784-7646
Mass Hardwood Floors,5.0,5,Wood floor installation service,"179 Essex St, Malden, MA 02148",N/A,N/A,masshardwoodfloors.com,"CWFX+72 Malden, Massachusetts",(781) 333-7050
J.L.Hardwood flooring,5.0,5,Wood floor installation service,"56 Library St, Revere, MA 02151",N/A,N/A,N/A,"CX5V+34 Revere, Massachusetts",(857) 919-4912
Amazing Flooring,3.7,3,Wood floor refinishing service,"951 Eastern Ave, Malden, MA 02148",N/A,N/A,N/A,"CXH4+XQ Malden, Massachusetts",(617) 306-0979
FLOORS-ARE-US INC,5.0,11,Wood floor refinishing service,"90 Fawcett St #116, Cambridge, MA 02138",N/A,N/A,floors-are-us.com,"9VR3+WJ Cambridge, Massachusetts",(857) 275-1766
"Watertown Floor Covering, LLC",5.0,8,Flooring contractor,"411 Waverley Oaks Rd #137, Waltham, MA 02452",Located in: Waverley Oaks Park,N/A,watertownfloor.com,"9QPX+Q8 Waltham, Massachusetts",(781) 398-0033
mass bay flooring,N/A,N/A,Flooring store,"86 Joy St, Somerville, MA 02143",N/A,N/A,N/A,"9WH7+9C Somerville, Massachusetts",(508) 864-3490
Stateline Flooring Supply,N/A,N/A,Flooring store,"400 Tradecenter Dr Ste 5900, Woburn, MA 01801",N/A,N/A,statelineflooring.com,"FRXQ+WC Woburn, Massachusetts",(781) 535-9697
Chelsea Floor Covering Co.,4.5,26,Carpet store,"25 Everett Ave, Chelsea, MA 02150",N/A,N/A,chelseafloor.com,"9XR6+HM Chelsea, Massachusetts",(617) 884-4842
Cambridge Flooring & Remodeling,4.9,15,Flooring store,"1157 Cambridge St, Cambridge, MA 02139",N/A,N/A,calendly.com,"9WF3+8C Cambridge, Massachusetts",(617) 354-0740
Boston Floor Covering,4.8,17,Flooring store,"629 Main St, Watertown, MA 02472",N/A,N/A,bostonfloorcovering.com,"9QFW+CP Watertown, Massachusetts",(617) 221-3266
Floor & Decor,4.2,97,Flooring store,"80 2nd Ave, Waltham, MA 02451",N/A,Closed ⋅ Opens 7AMSee more hours,flooranddecor.com,"9PVP+MJ Waltham, Massachusetts",(781) 464-3550
JP Flooring Services Inc.,4.8,24,Carpet store,"705 Broadway, Somerville, MA 02144",N/A,N/A,jpflooringservicesma.com,"CV2Q+24 Somerville, Massachusetts",(617) 440-7932
A.J. Rose Carpets & Flooring,4.7,210,Flooring store,"30 Broadway 1 S, Lynnfield, MA 01940",N/A,N/A,ajrosecarpets.com,"GX3M+GW Lynnfield, Massachusetts",(339) 444-0777
