name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Benchmark Kitchens,5.0,3,Kitchen remodeler,"20 Ashland St, North Adams, MA 01247",N/A,N/A,benchmarkkitchens.com,"MVXQ+8V North Adams, Massachusetts",(413) 664-6078
"KBR Design, Inc Kitchen & Bath",4.8,11,Kitchen remodeler,"108 Northfield Rd, Bernardston, MA 01337",N/A,N/A,kbrdesign.net,"MFC7+3H Bernardston, Massachusetts",(413) 648-3023
Belle Ville Design Build,5.0,4,Construction company,"491 W Main St, North Adams, MA 01247",N/A,N/A,bv-designbuild.com,"MVX9+C9 North Adams, Massachusetts",(413) 663-4231
Imperial Remodeling Kitchen Bathroom and Plus,5.0,N/A,General contractor,"73 Carter St, Leominster, MA 01453",N/A,N/A,imperialremodelingkb.com,"G7C2+86 Leominster, Massachusetts",(774) 368-5670
"Dream Kitchens & Baths by Nelson, Inc.",4.0,25,Kitchen remodeler,"44 Mead St Suite A, Leominster, MA 01453",N/A,N/A,dreamkitchens.net,"G7P5+WM Leominster, Massachusetts",(978) 466-9600
Kitchens Plus Flooring,4.4,7,Kitchen remodeler,"50 Main St, Gardner, MA 01440",N/A,N/A,norfolkkitchenandbath.com,"XH74+36 Manchester, New Hampshire",(603) 218-2300
Brian's Home Repair and Remodeling,4.2,5,Construction company,"305 Great Rd, Shirley, MA 01464",N/A,N/A,N/A,"H8RP+85 Shirley, Massachusetts",(978) 425-4548
"Brothers Remodeling & Design, Inc.",4.9,66,Remodeler,"213 School St, Gardner, MA 01440",N/A,N/A,brothersremodeling.net,"H2F7+FH Gardner, Massachusetts",(978) 602-4506
Custom Bath and Kitchens,4.7,115,Bathroom remodeler,"14 Brent Dr, Marlborough, MA 01752",N/A,N/A,custombathremodeling.com,"9FQR+5V Marlborough, Massachusetts",(508) 202-0017
Gamache Remodeling,1.0,N/A,Contractor,"33 Harugari St, Fitchburg, MA 01420",N/A,N/A,N/A,"H5GQ+6J Fitchburg, Massachusetts",(978) 815-7886
QUICK Bath & kitchen,5.0,14,Bathroom remodeler,"59 Apsley St #5, Hudson, MA 01749",N/A,N/A,quickbath.net,"9CWF+26 Hudson, Massachusetts",(978) 333-0684
Quality Home Solutions LLC,3.7,3,Kitchen remodeler,"765 N Main St, Leominster, MA 01453",N/A,N/A,qualityhomesolutions.net,"H64H+MV Leominster, Massachusetts",(978) 840-6400
Yankee Restorations LLC,4.5,15,General contractor,"551 Main St, Townsend, MA 01474",N/A,N/A,yankeerestorations.com,"M6FP+PF Townsend, Massachusetts",(978) 846-3934
"Feinmann, Inc.",4.9,21,Kitchen remodeler,"27 Muzzey St 1st floor, Lexington, MA 02421",N/A,N/A,feinmann.com,"CQW9+JV Lexington, Massachusetts",(781) 860-9800
AllModern,4.3,25,Furniture store,"310 Market St, Lynnfield, MA 01940",Located in: MarketStreet Lynnfield,N/A,allmodern.com,"GX78+VH Lynnfield, Massachusetts",(781) 701-3583
Creative Design Interiors Kitchen and Bath,5.0,21,Cabinet store,"134 Mystic Ave, Medford, MA 02155",N/A,N/A,cdikitchens.com,"CV6V+3J Medford, Massachusetts",(781) 395-6300
Greater Boston Kitchen Remodeling,5.0,21,Kitchen remodeler,"129 Newbury St 2nd Floor, Boston, MA 02116",N/A,N/A,greaterbostonkitchenremodeling.com,"9W2F+G7 Boston, Massachusetts",(617) 716-8717
Bay State Remodeling,4.8,161,Kitchen remodeler,"121b Tremont St suite 24, Boston, MA 02135",N/A,N/A,baystateremodeling.com,"9R2G+JH Boston, Massachusetts",(617) 397-5158
Evo Kitchen Remodeling Boston,5.0,17,Kitchen remodeler,"31 Milk St, Boston, MA 02109",N/A,N/A,evokitchenremodelingboston.com,"9W4R+HR Boston, Massachusetts",(857) 837-6909
Affordable Kitchen Remodeling Saugus,5.0,N/A,Kitchen remodeler,"34 Taylor St, Saugus, MA 01906",N/A,N/A,N/A,"FX8Q+4J Saugus, Massachusetts",(339) 293-1628
