name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Hewn Wood Tile Furnishings and Interiors,5.0,N/A,Furniture maker,"60 N Hoosac Rd, Williamstown, MA 01267",N/A,N/A,N/A,"PR4F+88 Williamstown, Massachusetts",(413) 822-0024
Palm Tile,5.0,21,Tile contractor,"59 Foster Ct, Gardner, MA 01440",N/A,N/A,palmtile.us,"H2GQ+22 Gardner, Massachusetts",(857) 990-8658
Once Upon A Tile,4.7,38,Tile store,"12 Westminster St, Fitchburg, MA 01420",N/A,N/A,onceuponatile.com,"H5G8+F8 Fitchburg, Massachusetts",(978) 345-8343
Grams Tile Inc,5.0,24,Tile contractor,"40 Kingman St, Lunenburg, MA 01462",N/A,N/A,gramstileinc.com,"H6CM+3F Lunenburg, Massachusetts",(978) 382-0639
High Tech Tile,5.0,8,Tile store,"288 Lancaster St, Leominster, MA 01453",N/A,N/A,hightechtileinc.com,"G782+96 Leominster, Massachusetts",(978) 235-6199
USA Tile and Painting Corp,5.0,31,Tile contractor,"97 Forest St #5, Lowell, MA 01851",N/A,N/A,usatileandpaintingcorp.com,"PMCJ+48 Lowell, Massachusetts",(978) 233-8173
Tile Masters,5.0,4,Contractor,"79 Wildwood Rd, Lunenburg, MA 01462",N/A,N/A,tilemasters-ma.com,"J7CW+XM Lunenburg, Massachusetts",(978) 987-7600
A P Beauregard's Hardwood-Tile,4.7,15,Flooring contractor,"294 Central St, Gardner, MA 01440",N/A,N/A,N/A,"H2G4+H4 Gardner, Massachusetts",(978) 632-6200
M & M Tile Installation and Repair,4.8,8,Tile contractor,"22 Mountain Lks Trl, Groton, MA 01450",N/A,N/A,N/A,"JF2M+2M Groton, Massachusetts",(978) 448-5304
Century Carpet & Creative Floors Inc.,4.8,41,Flooring store,"21 Main St, Ayer, MA 01432",N/A,N/A,century-carpets.com,"HC56+VV Ayer, Massachusetts",(978) 772-6300
Boston Tile and Marble,N/A,N/A,Tile contractor,"146 Main St, Pepperell, MA 01463",N/A,N/A,N/A,"MC8G+G5 Pepperell, Massachusetts",(781) 318-8132
Ability Tile Plus,N/A,N/A,Tile contractor,"73 Heritage Ln, Leominster, MA 01453",N/A,N/A,abilitytileplus.com,"H752+4G Leominster, Massachusetts",(781) 353-8675
Tiny Tile Mosaics,5.0,68,Art studio,"37 Central Square, Chelmsford, MA 01824",N/A,N/A,tinytilemosaics.com,"HJWX+C8 Chelmsford, Massachusetts",+1 340-228-4977
Tile Professional Design,4.0,4,Tile contractor,"1530 Green District Blvd, Marlborough, MA 01752",N/A,N/A,N/A,"8C9C+98 Marlborough, Massachusetts",(203) 414-9255
Stephen's Custom Floor Covering,4.5,16,Flooring contractor,"630 Boston Rd, Billerica, MA 01821",N/A,N/A,stephenscustomfloors.com,"GPVW+HQ Billerica, Massachusetts",(978) 362-3090
Floor & Decor,4.2,97,Flooring store,"80 2nd Ave, Waltham, MA 02451",N/A,Open ⋅ Closes 8PMSee more hours,flooranddecor.com,"9PVP+MJ Waltham, Massachusetts",(781) 464-3550
United Tile America,4.9,44,Tile store,"222 Arsenal St, Watertown, MA 02472",N/A,N/A,unitedtileamerica.com,"9R7G+RM Watertown, Massachusetts",(617) 926-3585
Watertown Tile,4.3,38,Marble supplier,"660 Arsenal St, Watertown, MA 02472",N/A,N/A,watertowntile.com,"9R7X+25 Watertown, Massachusetts",(617) 926-7200
Roma Tile,4.8,56,Tile store,"400 Arsenal St, Watertown, MA 02472",N/A,Open ⋅ Closes 5PMSee more hours,romatile.com,"9R7P+GR Watertown, Massachusetts",(617) 926-5800
Tile International,4.9,11,Tile store,"319 Waverley Oaks Rd, Waltham, MA 02452",Located in: Waverley Oaks Park,N/A,tiboston.com,"9QPV+7J Waltham, Massachusetts",(781) 899-8286
Tile Showcase,4.3,31,Tile store,"204 Arsenal St, Watertown, MA 02472",N/A,N/A,tileshowcase.com,"9R7G+V8 Watertown, Massachusetts",(617) 926-1100
Tile Excellence,4.8,19,Flooring contractor,"48 Linwood St, Medford, MA 02155",N/A,N/A,tileexcellence.com,"CWC6+35 Medford, Massachusetts",(781) 290-6000
Floor & Decor,4.2,303,Flooring store,"180 Main St, Saugus, MA 01906",Located in: Saugus Plaza,Open ⋅ Closes 8PMSee more hours,flooranddecor.com,"FX7F+W2 Saugus, Massachusetts",(781) 417-1024
Floor & Decor,4.7,36,Tile store,"432 Main St, Watertown, MA 02472",N/A,N/A,lafaucitile.com,"9RC4+44 Watertown, Massachusetts",(617) 924-8453
LaFauci Tile and Marble,4.7,36,Tile store,"432 Main St, Watertown, MA 02472",N/A,N/A,lafaucitile.com,"9RC4+44 Watertown, Massachusetts",(617) 924-8453
The Tile Shop,4.4,27,Tile store,"36 Arlington St, Watertown, MA 02472",N/A,N/A,tileshop.com,"9R7W+C6 Watertown, Massachusetts",(857) 304-2729
Tony's Imported Tile,4.7,68,Building materials supplier,"607 Main St, Stoneham, MA 02180",N/A,N/A,tonysimportedtile.com,"FV8X+MM Stoneham, Massachusetts",(781) 438-5790
S & W Tile,5.0,60,Tile contractor,"114 Goldencrest Ave, Waltham, MA 02451",N/A,N/A,sandwtile.com,"CPCQ+9F Waltham, Massachusetts",(617) 785-5128
"Daltile, Marazzi Sales Service Center",4.3,15,Tile store,"80 B Commerce Way, Woburn, MA 01801",N/A,N/A,locations.daltile.com,"GV77+6P Woburn, Massachusetts",(781) 932-6622
Northern Tile Works,5.0,28,Tile contractor,"84 Pond St, Stoneham, MA 02180",N/A,N/A,northerntileworks.com,"FW93+X2 Stoneham, Massachusetts",(617) 271-0314
Aguirre Modern Tile (AMT),4.9,61,Tile contractor,"106 Pemberton St, Revere, MA 02151",N/A,N/A,aguirremoderntile.com,"CXGM+W8 Revere, Massachusetts",(617) 766-1259
Pereira Tile,5.0,2,Tile contractor,"23 Oak St, Winchester, MA 01890",N/A,N/A,pereiratile.com,"FV59+8H Winchester, Massachusetts",(774) 228-8392
"Blue Eagle Tile Co, Inc",5.0,9,Tile contractor,"135 Ward St, Revere, MA 02151",N/A,N/A,blueeagleco.com,"CXGV+57 Revere, Massachusetts",(978) 942-1500
Interior Stone & Tile,4.3,7,Countertop contractor,"187 Lexington St, Waltham, MA 02452",N/A,N/A,interiorstone.net,"9QM7+4H Waltham, Massachusetts",(781) 893-6900
L&H tile,5.0,5,Tile contractor,"98 Swan St, Everett, MA 02149",N/A,Open ⋅ Closes 6:30PMSee more hours,lhtile.com,"CW7V+96 Everett, Massachusetts",(857) 880-7662
Tile in Style,4.6,30,Home goods store,"50 Winchester St, Newton, MA 02461",N/A,N/A,tileinstylestore.com,"8Q9R+7Q Newton, Massachusetts",(617) 916-2792
ProSource of Boston,4.1,26,Home improvement store,"20 Commerce Way, Woburn, MA 01801",N/A,N/A,prosourcewholesale.com,"GV48+RW Woburn, Massachusetts",(781) 202-6707
JP Tile Installation Corp,5.0,7,Tile contractor,"27 Carleton St, Revere, MA 02151",N/A,N/A,jptileinstallationcorp.net,"CX8V+WG Revere, Massachusetts",(617) 959-9362
PORCELANOSA Boston,5.0,N/A,Tile store,"17 Drydock Ave Suite 120W, Boston, MA 02210",Located in: Boston Design Center,N/A,porcelanosa.com,"8XV8+QW Boston, Massachusetts",(617) 963-7666
A.J. Rose Carpets & Flooring,4.7,210,Flooring store,"30 Broadway 1 S, Lynnfield, MA 01940",N/A,N/A,ajrosecarpets.com,"GX3M+GW Lynnfield, Massachusetts",(339) 444-0777
PORCELANOSA Chestnut Hill,3.7,11,Tile store,"55 Boylston St, Chestnut Hill, MA 02467",Located in: The Street,N/A,porcelanosa-usa.com,"8RCH+WV Chestnut Hill, Newton, MA",(617) 608-0167
Tiles Plus More Inc,4.5,99,Tile store,"309 Worcester St, Natick, MA 01760",N/A,Open ⋅ Closes 5PMSee more hours,tilesplusmore.com,"8M37+52 Natick, Massachusetts",(508) 653-4252
Tony's warehouse,5.0,N/A,Tile store,"85 Maple St, Stoneham, MA 02180",N/A,N/A,N/A,"FVHR+JQ Stoneham, Massachusetts",N/A
Pro Tile Distributers,4.5,4,Tile contractor,"10 Atlantic Ave, Woburn, MA 01801",N/A,N/A,prospecllc.com,"GV86+Q3 Woburn, Massachusetts",(781) 305-3023
Tony & Son Tile,5.0,N/A,Tile contractor,"48 Haynes St, Boston, MA 02128",N/A,N/A,N/A,"9X87+H4 Boston, Massachusetts",(781) 397-9850
Eye Tile,N/A,N/A,Tile store,"190R Washington St, Boston, MA 02108",N/A,N/A,N/A,N/A,(617) 620-0462
Associated Stone & Tile Installers,3.8,4,Tile contractor,"99 Hammond St, Waltham, MA 02451",N/A,N/A,astiboston.com,"9QH3+WC Waltham, Massachusetts",(781) 893-7041
Tile Luz,5.0,6,Tile contractor,"2 Linden St, Reading, MA 01867",N/A,N/A,tileluz.com,"GVFV+5P Reading, Massachusetts",(857) 251-1573
Discover Tile LLC,N/A,N/A,Flooring contractor,"1 Design Center Pl #206, Boston, MA 02210",N/A,N/A,N/A,"8XV8+MW Boston, Massachusetts",(617) 330-7900
Paris Ceramics,N/A,N/A,Flooring store,"500 Harrison Ave, Boston, MA 02118",N/A,N/A,parisceramicsusa.com,"8WRM+RJ Boston, Massachusetts",(617) 261-9736
United Distributors Tile Group,5.0,N/A,Building materials store,"110 Commerce Way # 1, Woburn, MA 01801",N/A,N/A,N/A,"GV86+39 Woburn, Massachusetts",(781) 933-0720
