Niche,Zip Code,Name,Instagram,Facebook,Credentials_Name,Credentials_Licence,Email,Phone
Roofing Contractor,02532,Coastal Roofing & Siding,,,Lucas Coelho,,,
Roofing Contractor,02532,Water Tight,https://www.thumbtack.com/websites/services/270680200105657404/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Jorge Romero,,,
Roofing Contractor,02532,Forty one construction,https://www.thumbtack.com/websites/services/270680200105657404/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Daniel Araújo,,,
Roofing Contractor,02532,Castro General Construction inc,https://www.thumbtack.com/websites/services/270680200105657404/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Raul Castro,,,
Roofing Contractor,02532,PLJ CARPENTRY,https://www.thumbtack.com/websites/services/443564245344911363/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Paulo Rodrigues Junior,,,
Roofing Contractor,02532,Sonic home improvement,https://www.thumbtack.com/websites/services/443564245344911363/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Luis Guaman,,,
Roofing Contractor,02532,Castro construction Roofing and Siding,https://www.thumbtack.com/websites/services/443564245344911363/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Jose Castro,,,
Roofing Contractor,02532,WRC Roofing Contractors LLC,https://www.thumbtack.com/websites/services/443564245344911363/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Renata Magalhaes,,,
Roofing Contractor,02532,All-star home improvement inc,https://www.thumbtack.com/websites/services/443564245344911363/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Luis Castro Guaman,Construction Supervisor (MA),,
Roofing Contractor,02532,Extreme Roofing & Home Solutions,https://www.thumbtack.com/websites/services/443564245344911363/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Rosa Chuqui Loja,Construction Supervisor (MA),,
Roofing Contractor,02532,Compact Home Group,https://www.thumbtack.com/websites/services/507505643470135301/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Francily Souza,Construction Supervisor (MA),,
Roofing Contractor,02532,R&L WHITMAN CONSTRUCTION INC,https://www.thumbtack.com/websites/services/507505643470135301/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,MARIA LOJA,Contractor - Residential (RI),,
Roofing Contractor,02532,Marine Home Improvement,https://www.thumbtack.com/websites/services/507505643470135301/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Michel Trankels,Contractor - Residential (RI),,
Roofing Contractor,02532,Ma commercial roofing,https://www.thumbtack.com/websites/services/507505643470135301/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Christopher Delmaro,Contractor - Residential (RI),,
Roofing Contractor,02532,victo carpentry inc,https://www.thumbtack.com/websites/services/507505643470135301/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Donizete De Victo,Contractor - Residential (RI),,
Roofing Contractor,02532,,https://www.thumbtack.com/websites/services/507505643470135301/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,,,,
Roofing Contractor,02532,Yeshua construction inc,https://www.thumbtack.com/websites/services/507505643470135301/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Lucas Silva,,,
Roofing Contractor,02532,JNR Association Metal Roofing Corp,https://www.thumbtack.com/websites/services/497051890271404035/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Segundo Lema Castro,,,
Roofing Contractor,02532,Apex Built,https://www.thumbtack.com/websites/services/497051890271404035/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Andre Coelho,,,
Roofing Contractor,02532,NJR Construction team,https://www.thumbtack.com/websites/services/497051890271404035/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Neftali Reyes,,,
Roofing Contractor,02540,Coastal Roofing & Siding,,,Lucas Coelho,,,
Roofing Contractor,02540,Water Tight,https://www.thumbtack.com/websites/services/270680200105657404/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Jorge Romero,,,
Roofing Contractor,02540,Forty one construction,,,Daniel Araújo,,,
Roofing Contractor,02536,Coastal Roofing & Siding,,,Lucas Coelho,,,
Roofing Contractor,02536,Water Tight,https://www.thumbtack.com/websites/services/270680200105657404/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,Jorge Romero,,,
Roofing Contractor,02536,Castro General Construction inc,,,Raul Castro,,,
Roofing Contractor,02536,Forty one construction,,,Daniel Araújo,,,
Roofing Contractor,02536,PLJ CARPENTRY,https://www.thumbtack.com/websites/services/443564245344911363/instagram/redirect,,Paulo Rodrigues Junior,,,
Roofing Contractor,02536,Sonic home improvement,,,Luis Guaman,,,
