Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source,Email
Flooring store,,Advanced Flooring & Design LLC,(508) 541-4455,,,,,,,,,,,,,,,https://www.facebook.com/p/Advanced-Floor-Covering-LLC-100063509295365/,,"165 Grove St #30, Franklin, MA 02038",Franklin,NORFOLK,MA,,"3H9F+QH Franklin, Massachusetts",Google Maps
Furniture repair shop,,Dalco Custom Works,(413) 374-5836,,business.google.com,,4,5.0,,,,,,,,,,https://m.facebook.com/100063489466021/photos/,,"91 North St, Northampton, MA 01060",Northampton,HAMPSHIRE,MA,,"89G9+GM Northampton, Massachusetts",Google Maps
General contractor,,"Torres General Flooring, Inc.",(508) 215-6009,,torresgeneralflooring.com,,,,,,,,,,,,,https://www.facebook.com/TorresGeneralFlooringandhomeimprovement/,,"1 Mansfield Ave, Mansfield, MA 02048",Mansfield,BRISTOL,MA,,"2QMJ+46 Mansfield, Massachusetts",Google Maps
Wood floor installation service,,Mass Hardwood Floors,(781) 333-7050,,masshardwoodfloors.com,,5,5.0,,,,,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,,,,https://m.facebook.com/massfloors/,,"179 Essex St, Malden, MA 02148",Malden,MIDDLESEX,MA,,"CWFX+72 Malden, Massachusetts",Google Maps
Flooring store,,Paris Ceramics,(617) 261-9736,,parisceramicsusa.com,,,,,,,,,info@parisceramicsusa.com,,,,https://www.facebook.com/photo.php?fbid=941846541284887&id=100063786480748&set=a.484332600369619,,"500 Harrison Ave, Boston, MA 02118",Boston,SUFFOLK,MA,,"8WRM+RJ Boston, Massachusetts",Google Maps
Wood floor refinishing service,,Amazing Flooring,(617) 306-0979,,,,3,3.7,,,,,,,,,,https://www.facebook.com/groups/430135574013154/,,"951 Eastern Ave, Malden, MA 02148",Malden,MIDDLESEX,MA,,"CXH4+XQ Malden, Massachusetts",Google Maps
Flooring contractor,,W.H. Russell,(508) 693-3180,,,,,,,,,,,,,,,https://www.facebook.com/whrussellmv/,,"61 Canterbury Ln, Vineyard Haven, MA 02568",Vineyard Haven,DUKES,MA,,"C9RQ+P9 Vineyard Haven, Tisbury, MA",Google Maps
Tile store,,Martha's Vineyard Tile Company Inc.,(508) 693-9707,,mvtileco.com,,,5.0,,,,,,Greyson@MVTileCo.com,,,,https://www.facebook.com/MVTile1/,,"123 Beach Rd, Vineyard Haven, MA 02568",Vineyard Haven,DUKES,MA,,"FC33+69 Vineyard Haven, Tisbury, MA",Google Maps
Tile contractor,,Steve's Flooring Service,(617) 921-3571,,stevesflooringservice.com,,,,,,,,,steved@stevesflooringservice.com,,,,https://m.facebook.com/61565900132821,,"20 Henry Ave, Somerville, MA 02144",Somerville,MIDDLESEX,MA,,"9VVM+RM Somerville, Massachusetts",Google Maps
Flooring store,,Ideal Floor & Design,(508) 418-3216,,idealfloor.com,,213,4.5,,,,,,markw@idealfloor.com,,,https://www.instagram.com/ideal_floor_and_decor,https://www.facebook.com/109197829156457,,"316 Iyannough Rd, Hyannis, MA 02601",Hyannis,BARNSTABLE,MA,,"MP79+3P Hyannis, Barnstable, MA",Google Maps
Oriental rug store,,Grillo Oriental Rug Outlet & Care,(781) 843-4200,,grilloorientalrugs.com,,169,4.8,,,,,,info@grilloorientalrugs.com,,,,https://www.facebook.com/grillorugs/,,"100 Messina Dr, Braintree, MA 02184",Braintree,NORFOLK,MA,,"5XV8+4Q Braintree, Massachusetts",Google Maps
,,Floor Coverings International North Boston,(978) 414-3111,,floorcoveringsinternational.com,,39,5.0,,,,,,address@domain.com,,,,,,"84 Highland Ave #301, Salem, MA 01970",Salem,ESSEX,MA,,"G36R+R8 Salem, Massachusetts",Google Maps
Flooring contractor,,J J Hardwood Floors Inc,(978) 897-1150,,jjhardwoodfloors.com,,22,4.6,,,,,,info@jjhardwoodfloors.com,,,,,https://www.linkedin.com/company/jj-hardwood-floors,"55 Knox Trail STE 402, Acton, MA 01720",Acton,MIDDLESEX,MA,,"FH2F+QV Acton, Massachusetts",Google Maps
General contractor,,TLC General Contractors Inc,(978) 506-1210,,tlcconstructionpros.com,,37,5.0,,,,,,info@tlccontractorsinc.com,,,https://www.instagram.com/tlcgeneralcontractorsinc,https://www.facebook.com/tlcgeneralcontractorsinc,,"58 Pulaski St, Peabody, MA 01960",Peabody,ESSEX,MA,,"G3RG+CG Peabody, Massachusetts",Google Maps
