name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Sink & Spout,3.9,8,Bathroom supply store,"168 Industrial Dr #2, Northampton, MA 01060",N/A,N/A,degreesofcomfort.com,"89P8+7R Northampton, Massachusetts",(413) 247-5311
Frank Webb Home,3.8,4,Bathroom supply store,"135 Industrial Dr, Northampton, MA 01060",N/A,N/A,frankwebb.com,N/A,(413) 586-8003
Barron & Jacobs Associates Inc,4.8,14,General contractor,"420 N Main St, Leeds, MA 01053",N/A,N/A,barronandjacobs.com,"88X6+J5 Leeds, Northampton, MA",(413) 586-8998
Valley Home Improvement,4.6,31,Contractor,"340 Riverside Dr, Northampton, MA 01062",N/A,N/A,valleyhomeimprovement.com,"88CM+8Q Northampton, Massachusetts",(413) 584-7522
"Affordable Baths, Inc.",4.5,31,Bathroom remodeler,"357 Cottage St, Springfield, MA 01104",N/A,N/A,affordablebaths.com,"4FV5+9R Springfield, Massachusetts",(413) 209-3797
Re-Bath,4.8,79,Bathroom remodeler,"6 French King Hwy, Greenfield, MA 01301",N/A,N/A,rebath.com,"JC3C+W2 Greenfield, Massachusetts",(413) 376-5238
Bath Fitter,3.3,13,Bathroom remodeler,"1175 Bernardston Rd, Greenfield, MA 01301",N/A,N/A,bathfitter.com,"JCRM+XG Greenfield, Massachusetts",(413) 376-5020
Vista Baths,4.8,32,Bathroom remodeler,"2097 Riverdale St, West Springfield, MA 01089",N/A,N/A,vistabaths.com,"5968+4V West Springfield, Massachusetts",(413) 350-1151
The Granite Group,4.5,10,Plumbing supply store,"168 Industrial Dr #3, Northampton, MA 01060",N/A,N/A,premiersupplygroup.com,"89P8+9W Northampton, Massachusetts",(413) 584-4250
Classic Kitchens & Baths,5.0,10,Cabinet store,"20 Colrain St, Greenfield, MA 01301",N/A,N/A,classic-kitchens.com,"H9PQ+MV Greenfield, Massachusetts",(413) 774-4714
Living Baths,4.9,46,Bathroom remodeler,"55 Circuit Ave, West Springfield, MA 01089",N/A,N/A,livingbaths.com,"39VQ+RQ West Springfield, Massachusetts",(413) 299-2440
Valley Kitchens,5.0,8,Cabinet store,"51 A1 Holyoke St, Easthampton, MA 01027",N/A,N/A,vkitchens.com,"785Q+VV Easthampton, Massachusetts",(413) 527-1500
Rainbow Home Improvement,5.0,N/A,Construction company,"128 Ryan Rd, Northampton, MA 01062",N/A,N/A,rainbowhomeimprovement.net,"88G8+GM Northampton, Massachusetts",(413) 885-9038
Sink & Spout,4.1,20,Bathroom supply store,"1060 Memorial Ave, West Springfield, MA 01089",N/A,N/A,sinkandspout.com,"39VM+QR West Springfield, Massachusetts",(413) 264-2770
Sink & Spout,4.1,20,Bathroom supply store,"1060 Memorial Ave, West Springfield, MA 01089",N/A,N/A,sinkandspout.com,"39VM+QR West Springfield, Massachusetts",(413) 264-2770
Florence Hardware,4.8,44,Hardware store,"12 N Maple St, Florence, MA 01062",N/A,N/A,florence-hardware.com,"88PH+C4 Florence, Northampton, MA",(413) 584-8867
Trustees' Office Bathrooms,N/A,N/A,Public wheelchair-accessible bathroom,"1843 W Housatonic St, Pittsfield, MA 01201",Located in: Hancock Shaker Village,N/A,N/A,"CMJ7+CW Pittsfield, Massachusetts",N/A
"Chagnon Building & Remodeling, LLC",4.3,24,Contractor,"91 Stockbridge St, Hadley, MA 01035",N/A,N/A,chagnon-br.com,"9CQX+HG Hadley, Massachusetts",(413) 259-6785
Stan-the-Fixit-Man,4.2,13,Handyman/Handywoman/Handyperson,"1 Bardwell St, Northampton, MA 01062",N/A,N/A,stanthefixitman.net,N/A,(413) 585-9070
East Branch Studio/Kent Hicks Construction,4.4,5,General contractor,"634 Main Rd #57, West Chesterfield, MA 01084",N/A,N/A,eastbranchstudio.com,"C43F+GH West Chesterfield, Chesterfield, MA",(413) 296-0123
Guiel Construction,5.0,2,Construction company,"63 Chesterfield Rd, Williamsburg, MA 01096",N/A,N/A,guiel.com,"96QV+42 Williamsburg, Massachusetts",(413) 268-9200
Cummington Supply,4.7,42,Hardware store,"18 Main St, Cummington, MA 01026",N/A,N/A,N/A,"F455+J8 Cummington, Massachusetts",(413) 634-8868
"Western Mass Heating, Cooling & Plumbing, Inc. - HVAC Contractors in Western MA",4.9,105,HVAC contractor,"4 S Main St Suite K, Haydenville, MA 01039",N/A,N/A,westernmassheatingcooling.com,"97FW+M8 Haydenville, Massachusetts",(413) 268-7777
Water Street Furniture Studio,N/A,N/A,Woodworker,"12 Water St, Leeds, MA 01053",N/A,N/A,waterstreetfurniture.com,"973X+95 Leeds, Northampton, MA",(413) 584-4424
Collective Cleaners,5.0,11,Janitorial service,"221 Pine St # 108, Florence, MA 01062",N/A,N/A,collectivecleaners.com,"88JC+FP Florence, Northampton, MA",(413) 230-0106
Williamsburg Hardware,4.6,19,Hardware store,"49 Main St, Williamsburg, MA 01096",Located in: The Colonial Shoppes Of Willamsburg,N/A,williamsburghardware.com,"97RH+4F Williamsburg, Massachusetts",(413) 268-3387
W Marek & Son Builders,N/A,N/A,Construction company,"Williamsburg, MA 01096",N/A,N/A,wmarek.com,"97V9+4X Williamsburg, Massachusetts",(413) 527-7667
