name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Luxury Makeover,5.0,21,Kitchen remodeler,"22 N Main St, Leominster, MA 01453",N/A,N/A,luxurymakeover.com,"G6MV+2G Leominster, Massachusetts",(888) 897-8558
SRB Signature Kitchen & Bath,4.8,24,Kitchen remodeler,"555 Chase Rd, Lunenburg, MA 01462",N/A,N/A,srbsignaturekandb.com,"J784+MC Lunenburg, Massachusetts",(978) 582-7500
SRB Signature Kitchen & Bath,4.8,24,Kitchen remodeler,"555 Chase Rd, Lunenburg, MA 01462",N/A,N/A,srbsignaturekandb.com,"J784+MC Lunenburg, Massachusetts",(978) 582-7500
"Brothers Remodeling & Design, Inc.",4.9,66,Remodeler,"213 School St, Gardner, MA 01440",N/A,N/A,brothersremodeling.net,"H2F7+FH Gardner, Massachusetts",(978) 602-4506
"Brothers Remodeling & Design, Inc.",4.9,66,Remodeler,"213 School St, Gardner, MA 01440",N/A,N/A,brothersremodeling.net,"H2F7+FH Gardner, Massachusetts",(978) 602-4506
Kitchens Plus Flooring,4.4,7,Kitchen remodeler,"50 Main St, Gardner, MA 01440",N/A,N/A,kitchensplusflooring.net,"H2G3+7W Gardner, Massachusetts",(978) 218-8039
American Dream Design,4.8,44,Kitchen remodeler,"20 Main St 2nd Floor - B, Leominster, MA 01453",N/A,N/A,americandreamdesign.net,"G6GR+R5 Leominster, Massachusetts",(978) 537-3786
American Dream Design,4.8,44,Kitchen remodeler,"20 Main St 2nd Floor - B, Leominster, MA 01453",N/A,N/A,americandreamdesign.net,"G6GR+R5 Leominster, Massachusetts",(978) 537-3786
Proficient Home Renovations,5.0,N/A,Remodeler,"53 Victoria Ln, Fitchburg, MA 01420",N/A,N/A,N/A,"H48Q+4F Fitchburg, Massachusetts",(978) 423-1233
Proficient Home Renovations,5.0,N/A,Remodeler,"53 Victoria Ln, Fitchburg, MA 01420",N/A,N/A,N/A,"H48Q+4F Fitchburg, Massachusetts",(978) 423-1233
Goguen Kitchen and Baths,N/A,N/A,Kitchen remodeler,"55 Mead St, Leominster, MA 01453",N/A,N/A,N/A,"G7P5+R2 Leominster, Massachusetts",(978) 534-5294
Goguen Kitchen and Baths,N/A,N/A,Kitchen remodeler,"55 Mead St, Leominster, MA 01453",N/A,N/A,N/A,"G7P5+R2 Leominster, Massachusetts",(978) 534-5294
Gamache Remodeling,1.0,N/A,Contractor,"33 Harugari St, Fitchburg, MA 01420",N/A,N/A,N/A,"H5GQ+6J Fitchburg, Massachusetts",(978) 815-7886
Allegiance General Contracting,5.0,4,Bathroom remodeler,"227 Mason Rd, West Townsend, MA 01474",N/A,N/A,allegiance-gc.com,"P62X+VH West Townsend, Townsend, MA",(508) 816-1977
Bath Busters,4.8,109,Bathroom remodeler,"30 N Main St, Leominster, MA 01453",N/A,N/A,bathbusters.com,"G6MV+4C Leominster, Massachusetts",(508) 925-4300
Bath Busters,4.8,109,Bathroom remodeler,"30 N Main St, Leominster, MA 01453",N/A,N/A,bathbusters.com,"G6MV+4C Leominster, Massachusetts",(508) 925-4300
P23 Home Improvement inc,5.0,37,Contractor,"42 Old Mill Rd, Leominster, MA 01453",N/A,N/A,p23homeimprovements.com,"F7V6+HM Leominster, Massachusetts",(508) 816-4079
"Taylor Made Cabinets, LLC",5.0,12,Kitchen remodeler,"139 Central St, Leominster, MA 01453",N/A,N/A,taylormadecabinets.net,"G6CR+H6 Leominster, Massachusetts",(978) 840-0100
Handy Lou's Home Improvement Services,5.0,4,Painter,"4 Hall St, Leominster, MA 01453",N/A,N/A,N/A,"G6MG+4M Leominster, Massachusetts",(508) 331-5050
Handy Lou's Home Improvement Services,5.0,4,Painter,"4 Hall St, Leominster, MA 01453",N/A,N/A,N/A,"G6MG+4M Leominster, Massachusetts",(508) 331-5050
Brian's Home Repair and Remodeling,4.2,5,Construction company,"305 Great Rd, Shirley, MA 01464",N/A,N/A,N/A,"H8RP+85 Shirley, Massachusetts",(978) 425-4548
Brian's Home Repair and Remodeling,4.2,5,Construction company,"305 Great Rd, Shirley, MA 01464",N/A,N/A,N/A,"H8RP+85 Shirley, Massachusetts",(978) 425-4548
Brittivia Homes & Construction,4.9,57,Deck builder,"913 Northfield Rd, Lunenburg, MA 01462",N/A,N/A,brittivia.com,"J65X+6R Lunenburg, Massachusetts",(978) 736-6304
"CORE Remodeling Services, Inc.",4.9,59,Kitchen remodeler,"41 Boylston St, Worcester, MA 01605",N/A,N/A,coreremodelingservices.com,"862M+9X Worcester, Massachusetts",(888) 959-2673
A&K Remodeling,4.7,15,Kitchen remodeler,"16 Lancaster St, West Boylston, MA 01583",N/A,N/A,ideal-kitchens.com,"96GG+R7 West Boylston, Massachusetts",(508) 835-6767
Custom Bath and Kitchens,4.7,115,Bathroom remodeler,"14 Brent Dr, Marlborough, MA 01752",N/A,N/A,custombathremodeling.com,"9FQR+5V Marlborough, Massachusetts",(508) 202-0017
B&N Contracting,4.8,38,General contractor,"60 Pine St, Leominster, MA 01453",N/A,N/A,b-ncontracting.com,"G6FR+GW Leominster, Massachusetts",(978) 846-8422
True Colors Painting & Construction Inc.,5.0,13,Painting,"55 Fox Meadow Rd, Leominster, MA 01453",N/A,N/A,truecolorsma.com,"H734+42 Leominster, Massachusetts",N/A
New England Residential Contracting,5.0,2,General contractor,"290 Jewett Hill Rd, Ashby, MA 01431",N/A,N/A,m.facebook.com,"M5W2+HP Ashby, Massachusetts",(978) 877-7866
"Precision Home Renovations, LLC",5.0,19,Bathroom remodeler,"53 Overlook Dr, Framingham, MA 01701",N/A,N/A,phr4u.com,"8HRQ+WG Framingham, Massachusetts",(617) 817-7081
Kitchen Views,N/A,N/A,Cabinet store,"95 Pearson Blvd, Gardner, MA 01440",N/A,N/A,kitchenviews.com,"H269+X9 Gardner, Massachusetts",(978) 630-5200
Westborough Design Center,5.0,4,Kitchen remodeler,"3 Ruggles St, Westborough, MA 01581",N/A,N/A,westboroughdesigncenter.com,"798M+FR Westborough, Massachusetts",(508) 366-7926
Bay State Remodeling,4.8,161,Kitchen remodeler,"121b Tremont St suite 24, Boston, MA 02135",N/A,N/A,baystateremodeling.com,N/A,(617) 397-5158
Bay State Remodeling,4.8,161,Kitchen remodeler,"121b Tremont St suite 24, Boston, MA 02135",N/A,N/A,ltconstructionremodeling.com,N/A,(508) 873-0966
"Kitchens By Design, Inc.",4.2,5,Kitchen remodeler,"57 Old Princeton Rd W, Sterling, MA 01564",N/A,N/A,N/A,"C6Q9+7P Sterling, Massachusetts",(978) 422-6008
J. Smart Contracting,5.0,3,Contractor,"491 Main St, West Townsend, MA 01474",N/A,N/A,jsmartcontracting.com,N/A,(978) 771-1934
ASC Contracting,5.0,N/A,Contractor,"314 Burrage St, Lunenburg, MA 01462",N/A,N/A,asccontractingco.com,"H8C6+C4 Lunenburg, Massachusetts",(978) 877-1666
ASC Contracting,5.0,N/A,Contractor,"314 Burrage St, Lunenburg, MA 01462",N/A,N/A,asccontractingco.com,"H8C6+C4 Lunenburg, Massachusetts",(978) 877-1666
KITCHENS BY LOMBCO,5.0,11,General contractor,"311 Marrett Rd, Lexington, MA 02421",N/A,N/A,kitchensbylombco.com,"CQP8+CG Lexington, Massachusetts",(978) 858-0700
Trimworks Inc,5.0,31,Bathroom remodeler,"Hillando Dr, Shrewsbury, MA 01545",N/A,N/A,N/A,"78Q9+8J Shrewsbury, Massachusetts",(774) 312-1223
Trimworks Inc,5.0,31,General contractor,"99 Prescott St Suite 101, Worcester, MA 01605",N/A,N/A,barnesbuilding.net,"76H2+22 Worcester, Massachusetts",(508) 829-1900
BB&R Design-Build,5.0,10,General contractor,"99 Prescott St Suite 101, Worcester, MA 01605",N/A,N/A,barnesbuilding.net,"76H2+22 Worcester, Massachusetts",(508) 829-1900
Harvey Remodeling LLC,4.3,19,Construction company,"697 Hartford Turnpike, Shrewsbury, MA 01545",N/A,N/A,harveyremodeling.com,"7885+RX Shrewsbury, Massachusetts",(508) 842-0404
Harvey Remodeling LLC,4.3,19,Construction company,"697 Hartford Turnpike, Shrewsbury, MA 01545",N/A,N/A,harveyremodeling.com,"7885+RX Shrewsbury, Massachusetts",(508) 842-0404
Majestic Stone Inc,4.9,15,Countertop store,"25 Mohawk Dr # 3, Leominster, MA 01453",N/A,N/A,mstonegranite.com,"G7H7+39 Leominster, Massachusetts",(978) 537-2944
Carole Kitchen & Bath Design Studio Showroom,4.7,102,Kitchen remodeler,"215 Salem St, Woburn, MA 01801",N/A,Open ⋅ Closes 5PMConfirmed by this business 10 weeks agoSee more hours,kitchenpeople.com,"FVP8+V7 Woburn, Massachusetts",(781) 933-3339
Carole Kitchen & Bath Design Studio Showroom,4.7,102,Kitchen remodeler,"215 Salem St, Woburn, MA 01801",N/A,Open ⋅ Closes 5PMConfirmed by this business 10 weeks agoSee more hours,kitchenpeople.com,"FVP8+V7 Woburn, Massachusetts",(781) 933-3339
RemodelWerks,4.6,10,General contractor,"621 Main St, Shrewsbury, MA 01545",N/A,N/A,remodelwerksllc.com,"77WQ+R8 Shrewsbury, Massachusetts",(508) 925-8895
RemodelWerks,4.6,10,General contractor,"621 Main St, Shrewsbury, MA 01545",N/A,N/A,remodelwerksllc.com,"77WQ+R8 Shrewsbury, Massachusetts",(508) 925-8895
RemodelWerks,4.6,10,General contractor,"621 Main St, Shrewsbury, MA 01545",N/A,N/A,remodelwerksllc.com,"77WQ+R8 Shrewsbury, Massachusetts",(508) 925-8895
Sweet Building & Remodeling Inc,4.8,24,General contractor,"160B Sterling St, West Boylston, MA 01583",N/A,N/A,sweetbuilding.com,"96MH+W2 West Boylston, Massachusetts",(888) 507-9338
Bertola Custom Homes & Remodeling Massachusetts,4.6,8,Kitchen remodeler,"210 Felton St, Waltham, MA 02453",N/A,N/A,bertolacustom.com,"9QC3+JR Waltham, Massachusetts",(781) 975-1809
Bertola Custom Homes & Remodeling Massachusetts,4.6,8,Kitchen remodeler,"210 Felton St, Waltham, MA 02453",N/A,N/A,bertolacustom.com,"9QC3+JR Waltham, Massachusetts",(781) 975-1809
Capertown Kitchen and Bath,4.8,4,Kitchen remodeler,"207 West St, Milford, MA 01757",N/A,N/A,capertownkb.com,"4FV3+GC Milford, Massachusetts",(508) 473-7100
Capertown Kitchen and Bath,4.8,4,Kitchen remodeler,"207 West St, Milford, MA 01757",N/A,N/A,capertownkb.com,"4FV3+GC Milford, Massachusetts",(508) 473-7100
"L'Italien Home Renovation and Design, LLC",4.9,37,Contractor,"1 Wood St, Groveland, MA 01834",N/A,N/A,handymanlitalien.com,N/A,(978) 225-0453
Grams Tile Inc,5.0,24,Tile contractor,"40 Kingman St, Lunenburg, MA 01462",N/A,N/A,gramstileinc.com,"H6CM+3F Lunenburg, Massachusetts",(978) 382-0639
Grams Tile Inc,5.0,24,Tile contractor,"40 Kingman St, Lunenburg, MA 01462",N/A,N/A,gramstileinc.com,"H6CM+3F Lunenburg, Massachusetts",(978) 382-0639
Edesia Kitchen & Bath Studio,4.4,7,Kitchen remodeler,"217 Middlesex Turnpike, Burlington, MA 01803",N/A,N/A,edesiakbs.com,"JQ69+C9 Burlington, Massachusetts",(781) 238-8800
Edesia Kitchen & Bath Studio,4.4,7,Kitchen remodeler,"217 Middlesex Turnpike, Burlington, MA 01803",N/A,N/A,edesiakbs.com,"JQ69+C9 Burlington, Massachusetts",(781) 238-8800
LW | Kitchen Remodeling of St Charles,4.8,8,Remodeler,"70 Dodge Rd, Sutton, MA 01590",N/A,N/A,primeactioninc.com,"578R+XP Sutton, Massachusetts",(508) 808-4048
Prime Action Remodeling,5.0,8,Remodeler,"70 Dodge Rd, Sutton, MA 01590",N/A,N/A,primeactioninc.com,"578R+XP Sutton, Massachusetts",(508) 808-4048
Prime Action Remodeling,5.0,8,Bathroom remodeler,"703 Waverly St, Framingham, MA 01702",N/A,N/A,N/A,"7HFC+HX Framingham, Massachusetts",(508) 847-5256
Oriel's Construction Inc - Bathroom & Kitchen Remodeler in Hopkinton MA,5.0,8,Bathroom remodeler,"703 Waverly St, Framingham, MA 01702",N/A,N/A,N/A,"7HFC+HX Framingham, Massachusetts",(508) 847-5256
Dream Home Construction Consultants of New England USA,N/A,N/A,Custom home builder,"409 Maple St, Winchendon, MA 01475",N/A,N/A,N/A,"MXRH+RV Winchendon, Massachusetts",(978) 413-9760
Dream Home Construction Consultants of New England USA,N/A,N/A,Custom home builder,"409 Maple St, Winchendon, MA 01475",N/A,N/A,N/A,"MXRH+RV Winchendon, Massachusetts",(978) 413-9760
Mid-State Kitchens,4.5,24,Cabinet store,"479 Hartford Turnpike, Shrewsbury, MA 01545",N/A,N/A,mid-statekitchens.com,"774W+W6 Shrewsbury, Massachusetts",(508) 845-1083
Kitchens & Baths By Curio,4.8,24,Kitchen remodeler,"1045 Boston Rd, Springfield, MA 01119",N/A,N/A,kitchensbycurio.com,N/A,(413) 783-0913
Mid-State Kitchens,4.5,24,Cabinet store,"479 Hartford Turnpike, Shrewsbury, MA 01545",N/A,N/A,mid-statekitchens.com,"774W+W6 Shrewsbury, Massachusetts",(508) 845-1083
RR IMPROVEMENT INC,5.0,34,Carpenter,"393 Worcester Rd, Framingham, MA 01701",N/A,N/A,rrimprovement.com,"7HXQ+GG Framingham, Massachusetts",(508) 740-7440
PS Berube Construction,3.9,8,Construction company,"123 Pierce Rd, Townsend, MA 01469",N/A,N/A,psberubeconst.com,"J8FF+J2 Townsend, Massachusetts",(978) 597-2020
A G Reliable Remodeling,4.5,8,Contractor,"41 Whittemore Rd, Framingham, MA 01701",N/A,N/A,agremodelingcontractor.com,"8HMC+34 Framingham, Massachusetts",(508) 561-8300
A G Reliable Remodeling,4.5,8,Kitchen remodeler,"83 Church St #1, Whitinsville, MA 01588",N/A,N/A,schotanusdesigncenter.com,"486Q+PF Whitinsville, Northbridge, MA",(508) 372-9283
Schotanus Design Center,4.5,12,Kitchen remodeler,"83 Church St #1, Whitinsville, MA 01588",N/A,N/A,schotanusdesigncenter.com,"486Q+PF Whitinsville, Northbridge, MA",(508) 372-9283
Schotanus Design Center,4.5,12,Kitchen remodeler,"83 Church St #1, Whitinsville, MA 01588",N/A,N/A,schotanusdesigncenter.com,"486Q+PF Whitinsville, Northbridge, MA",(508) 372-9283
Norfolk Kitchen & Bath Boston,4.4,44,Kitchen remodeler,"999 Morton St, Boston, MA 02126",N/A,N/A,norfolkkitchenandbath.com,"7WH9+9W Boston, Massachusetts",(617) 296-6600
Holden Home Modernizing Inc.,3.0,N/A,Siding contractor,"57 Putnam Ln, Holden, MA 01520",N/A,N/A,holdenhomemodernizing.com,"84HW+7H Holden, Massachusetts",(508) 829-3754
Holden Home Modernizing Inc.,3.0,N/A,Siding contractor,"57 Putnam Ln, Holden, MA 01520",N/A,N/A,holdenhomemodernizing.com,"84HW+7H Holden, Massachusetts",(508) 829-3754
