name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Blue Wave House Wash,5.0,15,Pressure washing service,"10 Shaker Ln, East Falmouth, MA 02536",N/A,N/A,bluewavehousewash.com,"HC5P+RV East Falmouth, Falmouth, MA",(774) 298-0164
Blue Wave House Wash,5.0,15,Pressure washing service,"10 Shaker Ln, East Falmouth, MA 02536",N/A,N/A,bluewavehousewash.com,"HC5P+RV East Falmouth, Falmouth, MA",(774) 298-0164
Blue Wave House Wash,5.0,15,Pressure washing service,"10 Shaker Ln, East Falmouth, MA 02536",N/A,N/A,bluewavehousewash.com,"HC5P+RV East Falmouth, Falmouth, MA",(774) 298-0164
"Celtic Services, Inc Powerwashing",5.0,64,Pressure washing service,"121 Timber Ln Apt B, Marstons Mills, MA 02648",N/A,N/A,celticpowerwashing.com,"MJF9+CG Marstons Mills, Barnstable, MA",(508) 360-0755
Big Boss Softwash,5.0,4,Pressure washing service,"82 Prudence Ln, Cotuit, MA 02635",N/A,N/A,bigbosscleans.com,"JHV8+77 Cotuit, Barnstable, MA",(774) 836-5545
Big Boss Softwash,5.0,4,Pressure washing service,"82 Prudence Ln, Cotuit, MA 02635",N/A,N/A,bigbosscleans.com,"JHV8+77 Cotuit, Barnstable, MA",(774) 836-5545
Eagle Wash,4.0,8,Pressure washing service,"746 Main St, Osterville, MA 02655",N/A,N/A,eaglecapecod.com,"JJH8+6X Osterville, Barnstable, MA",(508) 428-0053
Sparkling wash,N/A,N/A,Pressure washing service,"Marstons Mills, MA 02648",N/A,N/A,N/A,"MHCG+7G Marstons Mills, Barnstable, MA",(774) 208-2349
Preservation Pressure Wash,5.0,4,Pressure washing service,"15 Weeden Rd, Fairhaven, MA 02719",N/A,N/A,preservationpw.com,"J4VM+C2 Fairhaven, Massachusetts",(508) 718-7491
Happy Dog Pressure Washing,N/A,N/A,Pressure washing service,"118 Great Neck Rd, Wareham, MA 02571",N/A,N/A,happydogpressurewashing.com,"P8R9+W8 Wareham, Massachusetts",(774) 263-4237
Coastal Power Washing,5.0,N/A,Pressure washing service,"4536 Acushnet Ave, New Bedford, MA 02745",N/A,N/A,N/A,"P3R4+7J New Bedford, Massachusetts",(617) 780-9337
Whaling City Pressure Washing,5.0,41,Pressure washing service,"1434 Sassaquin Ave, New Bedford, MA 02745",N/A,N/A,whalingcitypressurewashing.com,"P3P2+X8 New Bedford, Massachusetts",(508) 742-7489
Bill's Power Washing & Painting,5.0,6,Pressure washing service,"140 River Rd, New Bedford, MA 02745",N/A,N/A,billspowerwashingandpainting.com,"M3HJ+2V New Bedford, Massachusetts",(508) 207-6532
Time To Shine Power Washing & Window Cleaning,5.0,407,Pressure washing service,"1040 Reed Rd Unite 2B, Dartmouth, MA 02747",N/A,N/A,timetoshinepowerwashing.com,"MX77+WP Dartmouth, Massachusetts",(508) 685-5343
Revolution SoftWash,4.9,119,Pressure washing service,"1134 American Legion Hwy, Westport, MA 02790",N/A,N/A,revolutionsoftwash.com,"JWPW+55 Westport, Massachusetts",(888) 803-7482
The Powerwash Company,5.0,61,Pressure washing service,"851 Pleasant St, Raynham, MA 02767",N/A,N/A,thepowerwashco.com,"WXPF+FQ Raynham, Massachusetts",(508) 823-9274
The Powerwash Company,5.0,61,Pressure washing service,"851 Pleasant St, Raynham, MA 02767",N/A,N/A,thepowerwashco.com,"WXPF+FQ Raynham, Massachusetts",(508) 823-9274
Flow Bros Pressure Washing,5.0,127,Pressure washing service,"7 Sawyer Pl, Plymouth, MA 02360",N/A,N/A,plymouthpressurewashing.com,"X87H+9Q Plymouth, Massachusetts",(617) 291-9792
PowerShine Roof & Exterior Cleaning,5.0,60,Pressure washing service,"10 Innsbruck Ln, Kingston, MA 02364",N/A,N/A,powershinecleaning.com,"W6QX+V9 Kingston, Massachusetts",(781) 291-1225
SouthCoast Pressure Wash,5.0,16,Pressure washing service,"47 Wooley St, Fall River, MA 02724",N/A,N/A,southcoastpressurewas.com,"MRQP+FC Fall River, Massachusetts",(508) 567-4782
SouthCoast Pressure Wash,5.0,16,Pressure washing service,"47 Wooley St, Fall River, MA 02724",N/A,N/A,southcoastpressurewas.com,"MRQP+FC Fall River, Massachusetts",(508) 567-4782
One Stop Power Washing,4.3,6,Pressure washing service,"55 Treetop Way, Plymouth, MA 02360",N/A,N/A,onestoppainting.com,"RCPX+86 Plymouth, Massachusetts",(508) 888-3500
One Stop Power Washing,4.3,6,Pressure washing service,"55 Treetop Way, Plymouth, MA 02360",N/A,N/A,onestoppainting.com,"RCPX+86 Plymouth, Massachusetts",(508) 888-3500
JRH Power Wash & Property Services,5.0,3,Cleaners,"257 Whippoorwill Dr, Raynham, MA 02767",N/A,N/A,N/A,"WXFQ+28 Raynham, Massachusetts",N/A
Pontes Power Washing Service,5.0,12,Pressure washing service,"74 Foster St, Fall River, MA 02721",N/A,N/A,N/A,"MRQV+JC Fall River, Massachusetts",(508) 567-8910
New England Power Wash,4.2,5,Pressure washing service,"101 Sunset Dr, Raynham, MA 02767",N/A,N/A,vinylwash.com,"WX66+CW Raynham, Massachusetts",(508) 824-0761
Clearly Amazing,4.9,93,Window cleaning service,"110 Breeds Hill Rd #1, Hyannis, MA 02601",N/A,N/A,clearlyamazing.com,"MPJ5+XF Hyannis, Barnstable, MA",(508) 790-2020
Supreme Rinse Pressure Washing LLC,5.0,2,Pressure washing service,"5 Homestead Rd, Middleborough, MA 02346",N/A,N/A,facebook.com,"V4J5+8F Middleborough, Massachusetts",(508) 858-6161
TriTown Group,5.0,8,Painting,"361 Front St, Marion, MA 02738",N/A,N/A,tritowngroup.services,"P68H+GM Marion, Massachusetts",(508) 501-8264
Star power wash handyman,N/A,N/A,Pressure washing service,"25 West St, Middleborough, MA 02346",N/A,N/A,N/A,"V3VH+9G Middleborough, Massachusetts",(781) 580-9940
"All Washed Up, Inc.",3.7,3,Pressure washing service,"336 Weir St, Taunton, MA 02780",N/A,N/A,allwashedupinc.com,"VWV5+2R Taunton, Massachusetts",(508) 889-2411
Southeast Softwash LLC,5.0,63,Pressure washing service,"91 Pheasant Ln, Raynham, MA 02767",N/A,N/A,N/A,"WXFM+CP Raynham, Massachusetts",(774) 406-9383
Packard Power Washing LLC,5.0,7,Pressure washing service,"67 East St, East Bridgewater, MA 02333",N/A,N/A,N/A,"226Q+VJ East Bridgewater, Massachusetts",(774) 226-5906
Shine Thru Inc,4.9,270,Window cleaning service,"4 Ricketts Pond Dr Unit 2, Carver, MA 02330",N/A,N/A,shinethruwindowcleaning.com,"W6VM+W8 Carver, Massachusetts",(781) 812-9189
"Simons Softwash, LLC",5.0,12,Pressure washing service,"953 Dighton Woods Cir, Dighton, MA 02715",N/A,N/A,simonssoftwash.com,"RVF2+9R Dighton, Massachusetts",(508) 821-0935
QUIKShield,N/A,N/A,Painter,"56 Conduit St, New Bedford, MA 02745",N/A,N/A,N/A,"M3CG+CV New Bedford, Massachusetts",(508) 492-2675
QUIKShield,N/A,N/A,Painter,"56 Conduit St, New Bedford, MA 02745",N/A,N/A,N/A,"M3CG+CV New Bedford, Massachusetts",(508) 492-2675
MV Expressions Painting,5.0,N/A,Painter,"10 Canterbury Ln, Vineyard Haven, MA 02568",N/A,N/A,N/A,"C9RR+R2 Vineyard Haven, Tisbury, MA",(508) 560-8492
Clear Choice Window Cleaning,5.0,58,Window cleaning service,"187 Hooppole Rd, Mashpee, MA 02649",N/A,N/A,clearchoicecapecod.com,"JFMF+2W Mashpee, Massachusetts",(508) 548-2345
Top Notch Window Cleaning,5.0,11,Window cleaning service,"197 Palmer Ave, Falmouth, MA 02540",Located in: 197 Palmer Ave LLC,N/A,topnotchwindowcleaning.net,"H95J+74 Falmouth, Massachusetts",(508) 540-0002
Cape Cod Cleaning Systems,5.0,9,Repair service,"49 N Main St #1, Carver, MA 02330",N/A,N/A,capecodcleaningsystems.com,"W57X+58 Carver, Massachusetts",(508) 947-0570
Power Wash Inc,2.5,2,Car wash,"98 Lakeside Ave, North Dartmouth, MA 02747",N/A,N/A,N/A,"MX25+F7 North Dartmouth, Dartmouth, MA",(508) 999-0307
Wash Ashore Roof & Exterior Cleaning LLC,5.0,2,Pressure washing service,"75 Kiahs Way, East Sandwich, MA 02537",N/A,N/A,N/A,"PG8M+7R East Sandwich, Sandwich, MA",(508) 360-2720
Sherlock Holmes Cleaning Services,5.0,78,Cleaning service,"200 Wheeler Rd, Mashpee, MA 02649",N/A,N/A,sherlockholmescleaning.com,"JFPC+27 Mashpee, Massachusetts",(774) 772-5630
Green Ocean Car Wash,4.6,101,Car wash,"187 Teaticket Hwy, East Falmouth, MA 02536",N/A,N/A,greenoceancarwash.com,"HC83+5V East Falmouth, Falmouth, MA",(774) 763-2701
Green Ocean Car Wash,4.6,101,Car wash,"187 Teaticket Hwy, East Falmouth, MA 02536",N/A,N/A,greenoceancarwash.com,"HC83+5V East Falmouth, Falmouth, MA",(774) 763-2701
