name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
IGA General Construction,5.0,5,General contractor,"48 Cushing St #2, Waltham, MA 02453",N/A,N/A,igageneralconst.com,"9Q98+P3 Waltham, Massachusetts",(857) 257-8006
ERC Inc. - Egama Roofing Corp.,5.0,93,Roofing contractor,"769 Waverly St, Framingham, MA 01702",N/A,N/A,egamaroofing.net,"7HFC+32 Framingham, Massachusetts",(508) 808-3523
South Shore Roofing,4.9,112,Roofing contractor,"15 Marion Way, Cohasset, MA 02025",N/A,N/A,southshoreroofers.com,"66C2+2V Cohasset, Massachusetts",(781) 923-1072
Ferrara Roofing & Contracting Inc.,5.0,6,Roofing contractor,"16 Webster Street, Rockland, MA 02370",N/A,N/A,ferrararoofing.com,"64G8+VM Rockland, Massachusetts",(781) 925-5056
Master Seal Roofing,4.4,78,Roofing contractor,"58 Brentwood St, Malden, MA 02148",N/A,N/A,mastersealroofing.com,"CXMF+R8 Malden, Massachusetts",(781) 941-6119
Century Roofing,5.0,5,Roofing contractor,"52 Oceanside Dr, Scituate, MA 02066",N/A,N/A,N/A,"6769+FC Scituate, Massachusetts",(617) 538-1451
Flynn Roofing Company,5.0,50,Roofing contractor,"1131 Washington St Rear, Weymouth, MA 02189",N/A,N/A,flynnroofing.com,"53W9+RR Weymouth, Massachusetts",(617) 479-3431
Viola Roofing & Contracting,5.0,61,Roofing contractor,"103 Shrine Rd, Norwell, MA 02061",N/A,N/A,violaroofing.com,"46G6+VP Norwell, Massachusetts",(781) 925-9596
Portanova Roofing Inc.,4.9,65,Roofing contractor,"110 King Ave, Weymouth, MA 02188",N/A,N/A,portanovaroofing.com,"627V+H3 Weymouth, Massachusetts",(617) 331-5815
Doherty Customs inc.,5.0,10,Roofing contractor,"78 Lynn Ave, Hull, MA 02045",N/A,N/A,doherty-customs.com,"74PF+G4 Hull, Massachusetts",(774) 269-5425
Roofing By Devlin,4.0,4,Roofing contractor,"494 Hatherly Rd, Scituate, MA 02066",N/A,N/A,N/A,"66HQ+69 Scituate, Massachusetts",(781) 545-2121
De La Rosa Roofing Company Lynn - Commercial & Residential Roofing Services,4.9,107,Roofing contractor,"90 Allen Ave, Lynn, MA 01902",N/A,N/A,delarosaroofingllc.com,"F3F2+3R Lynn, Massachusetts",(978) 979-7865
