name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Mastercraft Roofing Siding Windows,4.7,64,Roofing contractor,"49 Whiting St, Hingham, MA 02043",N/A,N/A,mastercraftroofingsidingwindows.com,"54G6+96 Hingham, Massachusetts",(781) 829-2222
ProShield Exteriors,4.6,11,Siding contractor,"1100 Washington St Suite #1, Hanover, MA 02339",N/A,N/A,proshieldexteriors.com,"45M5+HG Hanover, Massachusetts",(781) 218-8798
ProShield Exteriors,4.6,11,Siding contractor,"1100 Washington St Suite #1, Hanover, MA 02339",N/A,N/A,proshieldexteriors.com,"45M5+HG Hanover, Massachusetts",(781) 218-8798
Quincy Siding and Roofing,N/A,N/A,Siding contractor,"4 Price St, Quincy, MA 02171",N/A,N/A,quincysidingandroofing.com,"7XH9+MQ Quincy, Massachusetts",(617) 397-3344
Quincy Siding and Roofing,N/A,N/A,Siding contractor,"4 Price St, Quincy, MA 02171",N/A,N/A,quincysidingandroofing.com,"7XH9+MQ Quincy, Massachusetts",(617) 397-3344
"MJM Vinyl Siding, Inc.",5.0,2,Siding contractor,"124 Lintric Dr, Weymouth, MA 02190",N/A,N/A,mjmvinylsidinginc.com,"5387+73 Weymouth, Massachusetts",(781) 340-3318
"MJM Vinyl Siding, Inc.",5.0,2,Siding contractor,"124 Lintric Dr, Weymouth, MA 02190",N/A,N/A,mjmvinylsidinginc.com,"5387+73 Weymouth, Massachusetts",(781) 340-3318
Bickford Exteriors,5.0,6,Siding contractor,"45 North St, Hanover, MA 02339",N/A,N/A,bickfordexteriors.com,"44V8+PG Hanover, Massachusetts",(781) 878-0804
North Star Bailey Company Inc,5.0,23,Construction company,"768 Washington St, Hanover, MA 02339",N/A,N/A,northstarbailey.com,"45GC+M5 Hanover, Massachusetts",(781) 826-4205
North Star Bailey Company Inc,5.0,23,Construction company,"768 Washington St, Hanover, MA 02339",N/A,N/A,northstarbailey.com,"45GC+M5 Hanover, Massachusetts",(781) 826-4205
North Star Bailey Company Inc,5.0,23,Construction company,"768 Washington St, Hanover, MA 02339",N/A,N/A,lansingbp.com,"6X85+WQ Braintree, Massachusetts",(781) 843-5500
