Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source,Owner First Name,Owner Last Name
Counter Top,,SPACE COUNTERTOP INC,,,,,,,Weliton,Reis,,,,,,,,,,02537,East Sandwich,BARNSTABLE,MA,,,Thumbtack,WELITON,DA SILVA REIS
Counter Top,,SPACE COUNTERTOP INC,,,,,,,Weliton,Reis,,,,,,,,,,02537,East Sandwich,BARNSTABLE,MA,,,Thumbtack,ANA,CAROLINA REIS
Countertop store,,J&J GRANITE INC,(774) 578-8781,,jjgranitema.com,,32,4.9,,,,,,,,,,,,"940 Boston Rd, Springfield, MA 01119",Springfield,HAMPDEN,MA,,"4FQP+7P Springfield, Massachusetts",Google Maps,JOSE,J ROSADO
Countertop store,,"Bella Surfaces,Inc",(978) 667-2400,,bellasurfaces.com,,6,5.0,,,,,,,,,,,,"71 Faulkner St, North Billerica, MA 01862",North Billerica,MIDDLESEX,MA,,"HPR8+X7 North Billerica, Billerica, MA",Google Maps,RICHARD,CREMONE
Countertop store,,"Bella Surfaces,Inc",(978) 667-2400,,bellasurfaces.com,,6,5.0,,,,,,,,,,,,"71 Faulkner St, North Billerica, MA 01862",North Billerica,MIDDLESEX,MA,,"HPR8+X7 North Billerica, Billerica, MA",Google Maps,LYSHA,J CREMONE
Appliance store,,Central Radio appliance furniture &mattress,(413) 684-6199,,centralradio1933.com,,28,4.7,,,,,,,,,,,,"158 Hubbard Ave, Dalton, MA 01226",Dalton,BERKSHIRE,MA,,"FR46+P6 Dalton, Massachusetts",Google Maps,,
Masonry contractor,,G & W - MASONRY CONTRACT,(617) 749-7566,,,,23,4.6,,,,,,,,,,,,"29 College Ave, Medford, MA 02155",Medford,MIDDLESEX,MA,,"CV7P+8F Medford, Massachusetts",Google Maps,,
Cannabis store,,Northeast Alternatives - Fall River,(508) 567-6761,,nealternatives.com,,3244,4.7,,,,,,,,,,,,"999 William S Canning Blvd, Fall River, MA 02721",Fall River,BRISTOL,MA,,"MR8V+64 Fall River, Massachusetts",Google Maps,,
Countertop store,,Caesarstone New England Distribution Center,(774) 331-2214,,constantcontactsites.com,,,,,,,,,,,,,,,"35 Panas Rd, Foxborough, MA 02035",Foxboro,NORFOLK,MA,,"WMCJ+62 Attleboro, Massachusetts",Google Maps,,
Home improvement store,,Belletetes of Winchendon,(978) 297-1162,,belletetes.com,,65,4.1,,,,,,,,,,,,"245 Central St, Winchendon, MA 01475",Winchendon,WORCESTER,MA,,"MXP4+57 Winchendon, Massachusetts",Google Maps,REYNOLD,A. BELLETETE
Home improvement store,,Belletetes of Winchendon,(978) 297-1162,,belletetes.com,,65,4.1,,,,,,,,,,,,"245 Central St, Winchendon, MA 01475",Winchendon,WORCESTER,MA,,"MXP4+57 Winchendon, Massachusetts",Google Maps,DAVID,R. BELLETETE
