id,alias,name,image_url,is_closed,url,review_count,categories,rating,phone,display_phone,distance,location_address1,location_city,location_zip_code,business_url,price
XcOcP2_Jjxwgn-pkNdm64Q,trochez-general-flooring-south-sioux-city,Trochez General Flooring,https://s3-media3.fl.yelpcdn.com/bphoto/XaPh0zKyz0JcPraEN8hDwA/o.jpg,FALSE,https://www.yelp.com/biz/trochez-general-flooring-south-sioux-city?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,Flooring,0,+17127102646,(712) 710-2646,36071.36133,,South Sioux City,68776,,
Vt-j1DswG0Ua2MQ-VM8phQ,lemus-floors-sioux-city-4,Lemus Flooring,https://s3-media4.fl.yelpcdn.com/bphoto/pcUdIKD8u5tZR0CWB_KP6g/o.jpg,FALSE,https://www.yelp.com/biz/lemus-floors-sioux-city-4?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,2,"Flooring, Carpet Installation, Tiling",5,+17122049082,(712) 204-9082,27041.51844,430 State Highway 105,North Sioux City,57049,https://www.lemusfloors.com,
LCgy8F-n_w31sIPFAkocWg,es-contracting-sioux-city,ES Contracting,https://s3-media3.fl.yelpcdn.com/bphoto/_3k5lUa1CuWHQ0JXzYqorg/o.jpg,FALSE,https://www.yelp.com/biz/es-contracting-sioux-city?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"Lawn Services, General Contractors",0,+17125095621,(712) 509-5621,33904.6841,,Sioux City,51101,,
O04VYzAGSmgTD3vbNFFmuA,servicemaster-of-sooland-south-sioux-city-3,ServiceMaster of Sooland,https://s3-media2.fl.yelpcdn.com/bphoto/82PWA1oqo1jo19hKwKM-0w/o.jpg,FALSE,https://www.yelp.com/biz/servicemaster-of-sooland-south-sioux-city-3?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,2,"Carpet Cleaning, Damage Restoration, Office Cleaning",5,+14022794562,(402) 279-4562,35364.08813,1905 A St,South Sioux City,68776,https://www.servicemasterrestore.com/servicemaster-of-sooland/,
sQK3LuHtctPAbEHySPwlIw,chris-pierce-construction-sioux-city,Chris Pierce Construction,https://s3-media3.fl.yelpcdn.com/bphoto/AczYqRtPl_AgorwnmqfA-A/o.jpg,FALSE,https://www.yelp.com/biz/chris-pierce-construction-sioux-city?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,2,"Drywall Installation & Repair, General Contractors, Painters",3,+17125743674,(712) 574-3674,37775.65129,4028 Morningside Ave,Sioux City,51106,http://chrispierceconstructionllc.com,
bvN4IR4Bg6LXeARtwTgRCQ,cjs-handyman-services-lincoln-3,CJ's Handyman Services,,FALSE,https://www.yelp.com/biz/cjs-handyman-services-lincoln-3?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"Handyman, General Contractors",0,+14028907155,(402) 890-7155,219261.9104,,Lincoln,68502,,
fB7q1M6WdPgm4uDBW-_dPA,five-star-bath-solutions-sioux-falls,Five Star Bath Solutions,https://s3-media2.fl.yelpcdn.com/bphoto/_k80bF5UJEFflIw_7Bedbg/o.jpg,FALSE,https://www.yelp.com/biz/five-star-bath-solutions-sioux-falls?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"Kitchen & Bath, Plumbing, General Contractors",0,+16056674423,(605) 667-4423,83793.57539,5013 S Louise Ave,Sioux Falls,57108,https://fivestarbathsolutions.com/sioux-falls-sd/,
XPRIht_1ZOW9-QfE-m70FA,creations-renovations-sioux-city-2,Creations Renovations,https://s3-media1.fl.yelpcdn.com/bphoto/h0Nhid0au0L0DzkG9geE2Q/o.jpg,FALSE,https://www.yelp.com/biz/creations-renovations-sioux-city-2?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"General Contractors, Decks & Railing",0,+17128980387,(712) 898-0387,7245.464898,,Sioux City,57025,,
72Lx4N7X7YR4_Vcbq4jpXA,oxi-fresh-carpet-cleaning-north-sioux-city,Oxi Fresh Carpet Cleaning,,FALSE,https://www.yelp.com/biz/oxi-fresh-carpet-cleaning-north-sioux-city?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"Carpet Cleaning, Tiling, Grout Services",0,+16059793100,(605) 979-3100,26014.35929,,North Sioux City,57049,https://www.oxifresh.com/locations/sd/north-sioux-city-carpet-cleaning/,
D-jRMdWf6OliTjl6N6RuJQ,ultimate-floor-care-sergeant-bluff,Ultimate Floor Care,https://s3-media3.fl.yelpcdn.com/bphoto/B4Y-vX1v-f74mb6LZMguuQ/o.jpg,FALSE,https://www.yelp.com/biz/ultimate-floor-care-sergeant-bluff?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"Office Cleaning, Carpet Cleaning, Grout Services",0,+17122121847,(712) 212-1847,44539.98607,,Sergeant Bluff,51054,https://www.ultimatefloorcare.biz,
