Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source
Furniture maker,,Hewn Wood Tile Furnishings and Interiors,(413) 822-0024,,,,,5.0,,,,,,,,,,,,"60 N Hoosac Rd, Williamstown, MA 01267",Williamstown,BERKSHIRE,MA,,"PR4F+88 Williamstown, Massachusetts",Google Maps
Tile contractor,,Palm Tile,(857) 990-8658,,palmtile.us,,21,5.0,,,,,,,,,,,,"59 Foster Ct, Gardner, MA 01440",Gardner,WORCESTER,MA,,"H2GQ+22 Gardner, Massachusetts",Google Maps
Tile store,,Once Upon A Tile,(978) 345-8343,,onceuponatile.com,,38,4.7,,,,,,,,,,,,"12 Westminster St, Fitchburg, MA 01420",Fitchburg,WORCESTER,MA,,"H5G8+F8 Fitchburg, Massachusetts",Google Maps
Tile contractor,,Grams Tile Inc,(978) 382-0639,,gramstileinc.com,,24,5.0,,,,,,,,,,,,"40 Kingman St, Lunenburg, MA 01462",Lunenburg,WORCESTER,MA,,"H6CM+3F Lunenburg, Massachusetts",Google Maps
Tile store,,High Tech Tile,(978) 235-6199,,hightechtileinc.com,,8,5.0,,,,,,,,,,,,"288 Lancaster St, Leominster, MA 01453",Leominster,WORCESTER,MA,,"G782+96 Leominster, Massachusetts",Google Maps
Tile contractor,,USA Tile and Painting Corp,(978) 233-8173,,usatileandpaintingcorp.com,,31,5.0,,,,,,,,,,,,"97 Forest St #5, Lowell, MA 01851",Lowell,MIDDLESEX,MA,,"PMCJ+48 Lowell, Massachusetts",Google Maps
Contractor,,Tile Masters,(978) 987-7600,,tilemasters-ma.com,,4,5.0,,,,,,,,,,,,"79 Wildwood Rd, Lunenburg, MA 01462",Lunenburg,WORCESTER,MA,,"J7CW+XM Lunenburg, Massachusetts",Google Maps
Flooring contractor,,A P Beauregard's Hardwood-Tile,(978) 632-6200,,,,15,4.7,,,,,,,,,,,,"294 Central St, Gardner, MA 01440",Gardner,WORCESTER,MA,,"H2G4+H4 Gardner, Massachusetts",Google Maps
Tile contractor,,M & M Tile Installation and Repair,(978) 448-5304,,,,8,4.8,,,,,,,,,,,,"22 Mountain Lks Trl, Groton, MA 01450",Groton,MIDDLESEX,MA,,"JF2M+2M Groton, Massachusetts",Google Maps
Flooring store,,Century Carpet & Creative Floors Inc.,(978) 772-6300,,century-carpets.com,,41,4.8,,,,,,,,,,,,"21 Main St, Ayer, MA 01432",Ayer,MIDDLESEX,MA,,"HC56+VV Ayer, Massachusetts",Google Maps
