Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source
Kitchen remodeler,,Benchmark Kitchens,(413) 664-6078,,benchmarkkitchens.com,,3,5.0,,,,,,,,,,,,"20 Ashland St, North Adams, MA 01247",North Adams,BERKSHIRE,MA,,"MVXQ+8V North Adams, Massachusetts",Google Maps
Kitchen remodeler,,"KBR Design, Inc Kitchen & Bath",(413) 648-3023,,kbrdesign.net,,11,4.8,,,,,,,,,,,,"108 Northfield Rd, Bernardston, MA 01337",Bernardston,FRANKLIN,MA,,"MFC7+3H Bernardston, Massachusetts",Google Maps
Construction company,,Belle Ville Design Build,(413) 663-4231,,bv-designbuild.com,,4,5.0,,,,,,,,,,,,"491 W Main St, North Adams, MA 01247",North Adams,BERKSHIRE,MA,,"MVX9+C9 North Adams, Massachusetts",Google Maps
General contractor,,Imperial Remodeling Kitchen Bathroom and Plus,(774) 368-5670,,imperialremodelingkb.com,,,5.0,,,,,,,,,,,,"73 Carter St, Leominster, MA 01453",Leominster,WORCESTER,MA,,"G7C2+86 Leominster, Massachusetts",Google Maps
Kitchen remodeler,,"Dream Kitchens & Baths by Nelson, Inc.",(978) 466-9600,,dreamkitchens.net,,25,4.0,,,,,,,,,,,,"44 Mead St Suite A, Leominster, MA 01453",Leominster,WORCESTER,MA,,"G7P5+WM Leominster, Massachusetts",Google Maps
Kitchen remodeler,,Kitchens Plus Flooring,(603) 218-2300,,norfolkkitchenandbath.com,,7,4.4,,,,,,,,,,,,"50 Main St, Gardner, MA 01440",Gardner,WORCESTER,MA,,"XH74+36 Manchester, New Hampshire",Google Maps
Construction company,,Brian's Home Repair and Remodeling,(978) 425-4548,,,,5,4.2,,,,,,,,,,,,"305 Great Rd, Shirley, MA 01464",Shirley,MIDDLESEX,MA,,"H8RP+85 Shirley, Massachusetts",Google Maps
Remodeler,,"Brothers Remodeling & Design, Inc.",(978) 602-4506,,brothersremodeling.net,,66,4.9,,,,,,,,,,,,"213 School St, Gardner, MA 01440",Gardner,WORCESTER,MA,,"H2F7+FH Gardner, Massachusetts",Google Maps
Bathroom remodeler,,Custom Bath and Kitchens,(508) 202-0017,,custombathremodeling.com,,115,4.7,,,,,,,,,,,,"14 Brent Dr, Marlborough, MA 01752",Marlborough,MIDDLESEX,MA,,"9FQR+5V Marlborough, Massachusetts",Google Maps
Contractor,,Gamache Remodeling,(978) 815-7886,,,,,1.0,,,,,,,,,,,,"33 Harugari St, Fitchburg, MA 01420",Fitchburg,WORCESTER,MA,,"H5GQ+6J Fitchburg, Massachusetts",Google Maps
